id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000166913,YWHAB,ENSG00000166913,protein_coding,7529
ENSG00000275856,AL669914.2,ENSG00000275856,misc_RNA,
ENSG00000164112,TMEM155,ENSG00000164112,protein_coding,132332
ENSG00000259345,AC013652.1,ENSG00000259345,lncRNA,
ENSG00000130204,TOMM40,ENSG00000130204,protein_coding,10452
ENSG00000280387,AL109806.1,ENSG00000280387,TEC,
ENSG00000189099,PRSS48,ENSG00000189099,protein_coding,345062
ENSG00000232879,AL591806.1,ENSG00000232879,processed_pseudogene,
ENSG00000111863,ADTRP,ENSG00000111863,protein_coding,84830
ENSG00000164182,NDUFAF2,ENSG00000164182,protein_coding,91942
ENSG00000109618,SEPSECS,ENSG00000109618,protein_coding,51091
ENSG00000271623,AC138894.3,ENSG00000271623,processed_pseudogene,
ENSG00000279345,Z98885.3,ENSG00000279345,lncRNA,
ENSG00000214866,DCDC2C,ENSG00000214866,protein_coding,728597
ENSG00000153015,CWC27,ENSG00000153015,protein_coding,10283
ENSG00000202290,RNA5SP37,ENSG00000202290,rRNA_pseudogene,100873369
ENSG00000254578,AC084125.1,ENSG00000254578,lncRNA,
ENSG00000240710,AL512306.3,ENSG00000240710,lncRNA,
ENSG00000248778,AC105391.1,ENSG00000248778,processed_pseudogene,
ENSG00000250210,FO082796.1,ENSG00000250210,unprocessed_pseudogene,
ENSG00000225215,SMARCE1P1,ENSG00000225215,processed_pseudogene,100271884
ENSG00000257246,PHBP19,ENSG00000257246,processed_pseudogene,494150
ENSG00000245017,LINC02453,ENSG00000245017,lncRNA,643770
ENSG00000281091,AL117327.1,ENSG00000281091,lncRNA,
ENSG00000250885,LINC02061,ENSG00000250885,lncRNA,105374714
ENSG00000273797,AL133445.2,ENSG00000273797,lncRNA,
ENSG00000089116,LHX5,ENSG00000089116,protein_coding,64211
ENSG00000036448,MYOM2,ENSG00000036448,protein_coding,9172
ENSG00000234055,AL158151.2,ENSG00000234055,lncRNA,
ENSG00000267552,AC093227.2,ENSG00000267552,protein_coding,
ENSG00000224695,MTND6P7,ENSG00000224695,processed_pseudogene,106478945
ENSG00000106038,EVX1,ENSG00000106038,protein_coding,2128
ENSG00000255189,GLYATL1P1,ENSG00000255189,unprocessed_pseudogene,100129032
ENSG00000164114,MAP9,ENSG00000164114,protein_coding,79884
ENSG00000238698,RNU7-147P,ENSG00000238698,snRNA,106480451
ENSG00000199836,RNU1-47P,ENSG00000199836,snRNA,106480161
ENSG00000149089,APIP,ENSG00000149089,protein_coding,51074
ENSG00000251710,,,,
ENSG00000224570,AC097063.1,ENSG00000224570,processed_pseudogene,
ENSG00000179632,MAF1,ENSG00000179632,protein_coding,84232
ENSG00000271677,Z82195.1,ENSG00000271677,unprocessed_pseudogene,
ENSG00000114861,FOXP1,ENSG00000114861,protein_coding,27086
ENSG00000205030,OR5L2,ENSG00000205030,protein_coding,26338
ENSG00000138193,PLCE1,ENSG00000138193,protein_coding,51196
ENSG00000243073,PRAMEF4,ENSG00000243073,protein_coding,400735
ENSG00000152942,RAD17,ENSG00000152942,protein_coding,5884
ENSG00000240809,AC026877.1,ENSG00000240809,processed_pseudogene,
ENSG00000280004,AC005086.4,ENSG00000280004,pseudogene,
ENSG00000224560,AC108043.1,ENSG00000224560,processed_pseudogene,
ENSG00000227233,CICP17,ENSG00000227233,processed_pseudogene,642663
ENSG00000118363,SPCS2,ENSG00000118363,protein_coding,9789
ENSG00000258116,PPIAP45,ENSG00000258116,processed_pseudogene,100506099
ENSG00000273311,DGCR11,ENSG00000273311,lncRNA,25786
ENSG00000136169,SETDB2,ENSG00000136169,protein_coding,83852
ENSG00000279700,AC131212.2,ENSG00000279700,TEC,
ENSG00000121644,DESI2,ENSG00000121644,protein_coding,27351
ENSG00000135903,PAX3,ENSG00000135903,protein_coding,5077
ENSG00000138495,COX17,ENSG00000138495,protein_coding,10063
ENSG00000204528,PSORS1C3,ENSG00000204528,lncRNA,100130889
ENSG00000169992,NLGN2,ENSG00000169992,protein_coding,57555
ENSG00000239344,AC090686.1,ENSG00000239344,processed_pseudogene,
ENSG00000253309,SERPINE3,ENSG00000253309,protein_coding,647174
ENSG00000101323,HAO1,ENSG00000101323,protein_coding,54363
ENSG00000272456,AC087045.2,ENSG00000272456,lncRNA,
ENSG00000251538,LINC02201,ENSG00000251538,lncRNA,101927379
ENSG00000263711,LINC02864,ENSG00000263711,lncRNA,400655
ENSG00000262662,AC127496.4,ENSG00000262662,lncRNA,
ENSG00000127564,PKMYT1,ENSG00000127564,protein_coding,9088
ENSG00000219395,HSPA8P15,ENSG00000219395,processed_pseudogene,100420051
ENSG00000255349,OR4A7P,ENSG00000255349,unprocessed_pseudogene,81316
ENSG00000254843,XIAPP2,ENSG00000254843,processed_pseudogene,100420509
ENSG00000277998,AC107075.1,ENSG00000277998,unprocessed_pseudogene,
ENSG00000275248,AL355810.1,ENSG00000275248,lncRNA,
ENSG00000226086,EIF3LP3,ENSG00000226086,processed_pseudogene,340947
ENSG00000235023,AP001626.1,ENSG00000235023,lncRNA,
ENSG00000176973,FAM89B,ENSG00000176973,protein_coding,23625
ENSG00000255521,AL356215.1,ENSG00000255521,lncRNA,
ENSG00000211682,IGLJ6,ENSG00000211682,IG_J_gene,28828
ENSG00000231630,AL592464.1,ENSG00000231630,lncRNA,
